Acadia	#35312c
Persian Plum	#683332
Persian Red	#cc3333
Persian Rose	#fe28a2
Persimmon	#ec5800
Peru	#cd853f
Peru Tan	#733d1f
Pesto	#7a7229
Petite Orchid	#da9790
Pewter	#91a092
Pharlap	#826663
Picasso	#f8ea97
Picton Blue	#5ba0d0
Pig Pink	#fdd7e4
Pigment Green	#00a550
Pine Cone	#756556
Pine Glade	#bdc07e
Pine Green	#01796f
Pine Tree	#2a2f23
Pink	#ffc0cb
Pink Flamingo	#ff66ff
Pink Flare	#d8b4b6
Pink Lace	#f6ccd7
Pink Lady	#f3d7b6
Pink Swan	#bfb3b2
Piper	#9d5432
Pipi	#f5e6c4
Pippin	#fcdbd2
Pirate Gold	#ba782a
Pixie Green	#bbcda5
Pizazz	#e57f3d
Pizza	#bf8d3c
Plantation	#3e594c
Plum	#dda0dd
Pohutukawa	#651c26
Polar	#e5f2e7
Polo Blue	#8aa7cc
Pompadour	#6a1f44
Porcelain	#dddcdb
Porsche	#df9d5b
Port Gore	#3b436c
Portafino	#f4f09b
Portage	#8b98d8
Portica	#f0d555
Pot Pourri	#efdcd4
Potters Clay	#845c40
Powder Blue	#b0e0e6
Prairie Sand	#883c32
Prelude	#cab4d4
Prim	#e2cdd5
Primrose	#e4de8e
Promenade	#f8f6df
Provincial Pink	#f6e3da
Prussian Blue	#003366
Psychedelic Purple	#dd00ff
Puce	#cc8899
Pueblo	#6e3326
Puerto Rico	#59baa3
Pumice	#bac0b4
Pumpkin	#ff7518
Punga	#534931
Purple	#800080
Purple Heart	#652dc1
Purple Mountain's Majesty	#9678b6
Purple Taupe	#50404d
Putty	#cdae70
Quarter Pearl Lusta	#f2eddd
Quarter Spanish White	#ebe2d2
Quartz	#d9d9f3
Quicksand	#c3988b
Quill Grey	#cbc9c0
Quincy	#6a5445
Racing Green	#232f2c
Radical Red	#ff355e
Raffia	#dcc6a0
Rain Forest	#667028
Rainee	#b3c1b1
Rajah	#fcae60
Rangoon Green	#2b2e25
Raven	#6f747b
Raw Sienna	#d27d46
Raw Umber	#734a12
Razzle Dazzle Rose	#ff33cc
Razzmatazz	#e30b5c
Rebel	#453430
Red	#ff0000
Red Berry	#701f28
Red Damask	#cb6f4a
Red Devil	#662a2c
Red Orange	#ff3f34
Red Oxide	#5d1f1e
Red Robin	#7d4138
Red Stage	#ad522e
Redwood	#5b342e
Reef	#d1ef9f
Reef Gold	#a98d36
Regal Blue	#203f58
Regent Grey	#798488
Regent St Blue	#a0cdd9
Remy	#f6deda
Reno Sand	#b26e33
Resolution Blue	#323f75
Revolver	#37363f
Rhino	#3d4653
Rice Cake	#efecde
Rice Flower	#eff5d1
Rich Blue	#5959ab
Rich Gold	#a15226
Rio Grande	#b7c61a
Riptide	#89d9c8
River Bed	#556061
Rob Roy	#ddad56
Robin's Egg Blue	#00cccc
Rock	#5a4d41
Rock Blue	#93a2ba
Rock Spray	#9d442d
Rodeo Dust	#c7a384
Rolling Stone	#6d7876
Roman	#d8625b
Roman Coffee	#7d6757
Romance	#f4f0e6
Romantic	#ffc69e
Ronchi	#eab852
Roof Terracotta	#a14743
Rope	#8e593c
Rose	#d3a194
Rose Bud	#feab9a
Rose Bud Cherry	#8a2d52
Rose Of Sharon	#ac512d
Rose Taupe	#905d5d
Rose White	#fbeee8
Rosy Brown	#bc8f8f
Roti	#b69642
Rouge	#a94064
Royal Blue	#4169e1
Royal Heath	#b54b73
Royal Purple	#6b3fa0
Ruby	#e0115f
Rum	#716675
Rum Swizzle	#f1edd4
Russet	#80461b
Russett	#7d655c
Rust	#b7410e
Rustic Red	#3a181a
Rusty Nail	#8d5f2c
Saddle	#5d4e46
Saddle Brown	#8b4513
Safety Orange	#ff6600
Saffron	#f4c430
Sage	#989f7a
Sahara	#b79826
Sail	#a5ceec
Salem	#177b4d
Salmon	#fa8072
Salomie	#ffd67b
Salt Box	#696268
Saltpan	#eef3e5
Sambuca	#3b2e25
San Felix	#2c6e31
San Juan	#445761
San Marino	#4e6c9d
Sand Dune	#867665
Sandal	#a3876a
Sandrift	#af937d
Sandstone	#786d5f
Sandwisp	#decb81
Sandy Beach	#fedbb7
Sandy Brown	#f4a460
Sangria	#92000a
Sanguine Brown	#6c3736
Santas Grey	#9998a7
Sante Fe	#a96a50
Sapling	#e1d5a6
Sapphire	#082567
Saratoga	#555b2c
Sauvignon	#f4eae4
Sazerac	#f5dec4
Scampi	#6f63a0
Scandal	#add9d1
Scarlet	#ff2400
Scarlet Gum	#4a2d57
Scarlett	#7e2530
Scarpa Flow	#6b6a6c
Schist	#87876f
School Bus Yellow	#ffd800
Schooner	#8d8478
Scooter	#308ea0
Scorpion	#6a6466
Scotch Mist	#eee7c8
Screamin' Green	#66ff66
Scrub	#3d4031
Sea Buckthorn	#ef9548
Sea Fog	#dfddd6
Sea Green	#2e8b57
Sea Mist	#c2d5c4
Sea Nymph	#8aaea4
Sea Pink	#db817e
Seagull	#77b7d0
Seal Brown	#321414
Seance	#69326e
Seashell	#fff5ee
Seaweed	#37412a
Selago	#e6dfe7
Selective Yellow	#ffba00
Semi-Sweet Chocolate	#6b4226
Sepia	#9e5b40
Serenade	#fce9d7
Shadow	#837050
Shadow Green	#9ac0b6
Shady Lady	#9f9b9d
Shakespeare	#609ab8
Shalimar	#f8f6a8
Shamrock	#33cc99
Shamrock Green	#009e60
Shark	#34363a
Sherpa Blue	#00494e
Sherwood Green	#1b4636
Shilo	#e6b2a6
Shingle Fawn	#745937
Ship Cove	#7988ab
Ship Grey	#4e4e4c
Shiraz	#842833
Shocking	#e899be
Shocking Pink	#fc0fc0
Shuttle Grey	#61666b
Siam	#686b50
Sidecar	#e9d9a9
Sienna	#a0522d
Silk	#bbada1
Silver	#c0c0c0
Silver Chalice	#acaea9
Silver Sand	#bebdb6
Silver Tree	#67be90
Sinbad	#a6d5d0
Siren	#69293b
Sirocco	#68766e
Sisal	#c5baa0
Skeptic	#9db4aa
Sky Blue	#87ceeb
Slate Blue	#6a5acd
Slate Grey	#708090
Slugger	#42342b
Smalt	#003399
Smalt Blue	#496267
Smoke Tree	#bb5f34
Smoky	#605d6b
Snow	#fffafa
Snow Drift	#e3e3dc
Snow Flurry	#eaf7c9
Snowy Mint	#d6f0cd
Snuff	#e4d7e5
Soapstone	#ece5da
Soft Amber	#cfbea5
Soft Peach	#eedfde
Solid Pink	#85494c
Solitaire	#eadac2
Solitude	#e9ecf1
Sorbus	#dd6b38
Sorrell Brown	#9d7f61
Sour Dough	#c9b59a
Soya Bean	#6f634b
Space Shuttle	#4b433b
Spanish Green	#7b8976
Spanish White	#ded1b7
Spectra	#375d4f
Spice	#6c4f3f
Spicy Mix	#8b5f4d
Spicy Pink	#ff1cae
Spindle	#b3c4d8
Splash	#f1d79e
Spray	#7ecddd
Spring Bud	#a7fc00
Spring Green	#00ff7f
Spring Rain	#a3bd9c
Spring Sun	#f1f1c6
Spring Wood	#e9e1d9
Sprout	#b8ca9d
Spun Pearl	#a2a1ac
Squirrel	#8f7d6b
St Tropaz	#325482
Stack	#858885
Star Dust	#a0a197
Stark White	#d2c6b6
Starship	#e3dd39
Steel Blue	#4682b4
Steel Grey	#43464b
Stiletto	#833d3e
Stonewall	#807661
Storm Dust	#65645f
Storm Grey	#747880
Straw	#dabe82
Strikemaster	#946a81
Stromboli	#406356
Studio	#724aa1
Submarine	#8c9c9c
Sugar Cane	#eeefdf
Sulu	#c6ea80
Summer Green	#8fb69c
Summer Sky	#38b0de
Sun	#ef8e38
Sundance	#c4aa4d
Sundown	#f8afa9
Sunflower	#dac01a
Sunglo	#c76155
Sunglow	#ffcc33
Sunset	#c0514a
Sunset Orange	#fe4c40
Sunshade	#fa9d49
Supernova	#ffb437
Surf	#b8d4bb
Surf Crest	#c3d6bd
Surfie Green	#007b77
Sushi	#7c9f2f
Suva Grey	#8b8685
Swamp	#252f2f
Swans Down	#dae6dd
Sweet Corn	#f9e176
Sweet Pink	#ee918d
Swirl	#d7cec5
Swiss Coffee	#dbd0ca
Tacao	#f6ae78
Tacha	#d2b960
Tahiti Gold	#dc722a
Tahuna Sands	#d8cc9b
Tall Poppy	#853534
Tallow	#a39977
Tamarillo	#752b2f
Tan	#d2b48c
Tana	#b8b5a1
Tangaroa	#1e2f3c
Tangerine	#f28500
Tangerine Yellow	#ffcc00
Tango	#d46f31
Tapa	#7c7c72
Tapestry	#b37084
Tara	#def1dd
Tarawera	#253c48
Tasman	#bac0b3
Taupe	#483c32
Taupe Grey	#8b8589
Tawny Port	#643a48
Tax Break	#496569
Te Papa Green	#2b4b40
Tea	#bfb5a2
Tea Green	#d0f0c0
Tea Rose	#f883c2
Teak	#ab8953
Teal	#008080
Teal Blue	#254855
Temptress	#3c2126
Tenne (Tawny)	#cd5700
Tequila	#f4d0a4
Terra Cotta	#e2725b
Texas	#ece67e
Texas Rose	#fcb057
Thatch	#b1948f
Thatch Green	#544e31
Thistle	#d8bfd8
Thunder	#4d4d4b
Thunderbird	#923830
Tia Maria	#97422d
Tiara	#b9c3be
Tiber	#184343
Tickle Me Pink	#fc80a5
Tidal	#f0f590
Tide	#beb4ab
Timber Green	#324336
Timberwolf	#d9d6cf
Titan White	#ddd6e1
Toast	#9f715f
Tobacco Brown	#6d5843
Tobago	#44362d
Toledo	#3e2631
Tolopea	#2d2541
Tom Thumb	#4f6348
Tomato	#ff6347
Tonys Pink	#e79e88
Topaz	#817c87
Torch Red	#fd0e35
Torea Bay	#353d75
Tory Blue	#374e88
Tosca	#744042
Tower Grey	#9caca5
Tradewind	#6dafa7
Tranquil	#ddede9
Travertine	#e2ddc7
Tree Poppy	#e2813b
Trendy Green	#7e8424
Trendy Pink	#805d80
Trinidad	#c54f33
Tropical Blue	#aec9eb
Tropical Rain Forest	#00755e
Trout	#4c5356
True V	#8e72c7
Tuatara	#454642
Tuft Bush	#f9d3be
Tulip Tree	#e3ac3d
Tumbleweed	#dea681
Tuna	#46494e
Tundora	#585452
Turbo	#f5cc23
Turkish Rose	#a56e75
Turmeric	#ae9041
Turquoise	#40e0d0
Turquoise Blue	#6cdae7
Turtle Green	#363e1d
Tuscany	#ad6242
Tusk	#e3e5b1
Tussock	#bf914b
Tutu	#f8e4e3
Twilight	#dac0cd
Twilight Blue	#f4f6ec
Twine	#c19156
Tyrian Purple	#66023c
Ultra Pink	#ff6fff
Ultramarine	#120a8f
Valencia	#d4574e
Valentino	#382c38
Valhalla	#2a2b41
Van Cleef	#523936
Vanilla	#ccb69b
Vanilla Ice	#ebd2d1
Varden	#fdefd3
Venetian Red	#c80815
Venice Blue	#2c5778
Venus	#8b7d82
Verdigris	#62603e
Verdun Green	#48531a
Vermilion	#ff4d00
Very Dark Brown	#5c4033
Very Light Grey	#cdcdcd
Vesuvius	#a85533
Victoria	#564985
Vida Loca	#5f9228
Viking	#4db1c8
Vin Rouge	#955264
Viola	#c58f9d
Violent Violet	#2e2249
Violet	#ee82ee
Violet Blue	#9f5f9f
Violet Red	#f7468a
Viridian	#40826d
Viridian Green	#4b5f56
Vis Vis	#f9e496
Vista Blue	#97d5b3
Vista White	#e3dfd9
Vivid Tangerine	#ff9980
Vivid Violet	#803790
Volcano	#4e2728
Voodoo	#443240
Vulcan	#36383c
Wafer	#d4bbb1
Waikawa Grey	#5b6e91
Waiouru	#4c4e31
Wan White	#e4e2dc
Wasabi	#849137
Water Leaf	#b6ecde
Watercourse	#006e4e
Wattle	#d6ca3d
Watusi	#f2cdbb
Wax Flower	#eeb39e
We Peep	#fdd7d8
Wedgewood	#4c6b88
Well Read	#8e3537
West Coast	#5c512f
West Side	#e5823a
Westar	#d4cfc5
Wewak	#f1919a
Wheat	#f5deb3
Wheatfield	#dfd7bd
Whiskey	#d29062
Whiskey Sour	#d4915d
Whisper	#efe6e6
White	#ffffff
White Ice	#d7eee4
White Lilac	#e7e5e8
White Linen	#eee7dc
White Nectar	#f8f6d8
White Pointer	#dad6cc
White Rock	#d4cfb4
White Smoke	#f5f5f5
Wild Blue Yonder	#7a89b8
Wild Rice	#e3d474
Wild Sand	#e7e4de
Wild Strawberry	#ff3399
Wild Watermelon	#fd5b78
Wild Willow	#beca60
William	#53736f
Willow Brook	#dfe6cf
Willow Grove	#69755c
Windsor	#462c77
Wine Berry	#522c35
Winter Hazel	#d0c383
Wisp Pink	#f9e8e2
Wisteria	#c9a0dc
Wistful	#a29ecd
Witch Haze	#fbf073
Wood Bark	#302621
Woodburn	#463629
Woodland	#626746
Woodrush	#45402b
Woodsmoke	#2b3230
Woody Brown	#554545
Xanadu	#75876e
Yellow	#ffff00
Yellow Green	#9acd32
Yellow Metal	#73633e
Yellow Orange	#ffae42
Yellow Sea	#f49f35
Your Pink	#ffc5bb
Yukon Gold	#826a21
Yuma	#c7b882
Zambezi	#6b5a5a
Zanah	#b2c6b1
Zest	#c6723b
Zeus	#3b3c38
Ziggurat	#81a6aa
Zinnwaldite	#ebc2af
Zircon	#dee3e3
Zombie	#ddc283
Zorba	#a29589
Zuccini	#17462e
Zumthor	#cdd5d5
